PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
1.0,2-6 SiaLac,150.0,44.0,0.29,0.273,11.881,423.02836461577306,0,1,Data/H3N2_EGG/H3N2_sheet1.csv,5026.0,1.0,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.283,12.3,330.9756097560975,0,1,Data/H3N2_EGG/H3N2_sheet1.csv,4071.0,0.7823957858161947,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.29,12.634,289.85277821750833,0,1,Data/H3N2_EGG/H3N2_sheet1.csv,3662.0,0.6851852085161593,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.245,10.668,129.35883014623172,0,1,Data/H3N2_EGG/H3N2_sheet1.csv,1380.0,0.30579233206672884,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.225,9.773,174.66489307275145,0,1,Data/H3N2_EGG/H3N2_sheet1.csv,1707.0,0.4128916821721767,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.22,9.578,87.17895176446022,0,1,Data/H3N2_EGG/H3N2_sheet1.csv,835.0,0.20608299361590768,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.13,7.772,248.97066392177044,0,2,Data/H3N2_EGG/H3N2_sheet1.csv,1935.0,0.5885436645552238,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.225,13.494,198.01393211797836,0,2,Data/H3N2_EGG/H3N2_sheet1.csv,2672.0,0.46808665489329504,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.193,11.575,303.4989200863931,0,2,Data/H3N2_EGG/H3N2_sheet1.csv,3513.0,0.7174434280832545,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.183,10.956,82.14676889375684,0,2,Data/H3N2_EGG/H3N2_sheet1.csv,900.0,0.1941873778803671,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.165,9.907,44.71585747451297,0,2,Data/H3N2_EGG/H3N2_sheet1.csv,443.0,0.10570415890463364,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.177,10.647,10.895087818164741,0,2,Data/H3N2_EGG/H3N2_sheet1.csv,116.0,0.025754981768327755,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.287,22.358,215.94060291618212,0,3,Data/H3N2_EGG/H3N2_sheet1.csv,4828.0,0.510463649671142,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.278,21.661,222.51973593093578,0,3,Data/H3N2_EGG/H3N2_sheet1.csv,4820.0,0.5260161127328786,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.236,18.423,66.43869076697607,0,3,Data/H3N2_EGG/H3N2_sheet1.csv,1224.0,0.1570549313574299,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.241,18.818,101.60484642363694,0,3,Data/H3N2_EGG/H3N2_sheet1.csv,1912.0,0.240184476792525,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.226,17.615,105.70536474595517,0,3,Data/H3N2_EGG/H3N2_sheet1.csv,1862.0,0.24987772354689483,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.202,15.754,100.03808556557065,0,3,Data/H3N2_EGG/H3N2_sheet1.csv,1576.0,0.23648079876731895,Binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.262,25.64,163.84555382215288,0,4,Data/H3N2_EGG/H3N2_sheet1.csv,4201.0,0.38731576302447246,Binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.241,23.621,237.96621650226496,0,4,Data/H3N2_EGG/H3N2_sheet1.csv,5621.0,0.5625301667853979,Binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.246,24.088,106.02789770840252,0,4,Data/H3N2_EGG/H3N2_sheet1.csv,2554.0,0.2506401616938978,Binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.187,18.34,183.47873500545256,0,4,Data/H3N2_EGG/H3N2_sheet1.csv,3365.0,0.43372679080775606,Binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.196,19.188,180.73796122576613,0,4,Data/H3N2_EGG/H3N2_sheet1.csv,3468.0,0.4272478546206382,Binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.226,22.153,120.84142102649754,0,4,Data/H3N2_EGG/H3N2_sheet1.csv,2677.0,0.2856579632343449,Binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.274,28.723,160.3244786408105,0,5,Data/H3N2_EGG/H3N2_sheet1.csv,4605.0,0.3789922663612156,Binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.257,26.96,277.15133531157267,0,5,Data/H3N2_EGG/H3N2_sheet1.csv,7472.0,0.6551601700829278,Binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.234,24.585,117.67337807606263,0,5,Data/H3N2_EGG/H3N2_sheet1.csv,2893.0,0.27816900217304025,Binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.211,22.205,225.53478946183293,0,5,Data/H3N2_EGG/H3N2_sheet1.csv,5008.0,0.5331434209303695,Binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.215,22.525,143.44062153163154,0,5,Data/H3N2_EGG/H3N2_sheet1.csv,3231.0,0.33908038687172987,Binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.209,21.994,163.08993361825952,0,5,Data/H3N2_EGG/H3N2_sheet1.csv,3587.0,0.38552954662127764,Binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.182,25.693,210.7188728447437,0,6,Data/H3N2_EGG/H3N2_sheet1.csv,5414.0,0.4981199618520493,Binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.155,21.809,227.01636938878443,0,6,Data/H3N2_EGG/H3N2_sheet1.csv,4951.0,0.5366457390983184,Binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.162,22.775,131.02085620197585,0,6,Data/H3N2_EGG/H3N2_sheet1.csv,2984.0,0.3097212082243683,Binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.147,20.683,202.7268771454818,0,6,Data/H3N2_EGG/H3N2_sheet1.csv,4193.0,0.47922762183952833,Binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.175,24.706,214.23945600259046,0,6,Data/H3N2_EGG/H3N2_sheet1.csv,5293.0,0.5064422954171861,Binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.2,28.185,151.85382295547276,0,6,Data/H3N2_EGG/H3N2_sheet1.csv,4280.0,0.35896841833147075,Binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.038,45.152,62.433557760453574,0,7,Data/H3N2_EGG/H3N2_sheet1.csv,2819.0,0.1475871666836349,Binder
5.0,2-6 SiaLac,150.0,44.0,0.29,0.914,39.76,94.79376257545272,0,7,Data/H3N2_EGG/H3N2_sheet1.csv,3769.0,0.22408370337424469,Binder
5.0,2-6 SiaLac,150.0,44.0,0.29,0.878,38.186,90.97575027496988,0,7,Data/H3N2_EGG/H3N2_sheet1.csv,3474.0,0.21505827477455575,Binder
5.0,2-6 SiaLac,150.0,44.0,0.29,0.99,43.055,147.43932179770061,0,7,Data/H3N2_EGG/H3N2_sheet1.csv,6348.0,0.3485329451409632,Binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.022,44.446,93.19173828915989,0,7,Data/H3N2_EGG/H3N2_sheet1.csv,4142.0,0.22029666586022856,Binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.095,47.654,91.681705628069,0,7,Data/H3N2_EGG/H3N2_sheet1.csv,4369.0,0.21672708805552882,Binder
5.0,2-6 SiaLac,150.0,60.0,0.4,0.678,40.681,27.285464959071803,0,8,Data/H3N2_EGG/H3N2_sheet1.csv,1110.0,0.06450032017085797,Binder
5.0,2-6 SiaLac,150.0,60.0,0.4,0.66,39.578,34.893122441760575,0,8,Data/H3N2_EGG/H3N2_sheet1.csv,1381.0,0.08248412012147979,Binder
5.0,2-6 SiaLac,150.0,60.0,0.4,0.673,40.387,48.55522816747963,0,8,Data/H3N2_EGG/H3N2_sheet1.csv,1961.0,0.1147800767723489,Binder
5.0,2-6 SiaLac,150.0,60.0,0.4,0.824,49.452,77.93415837579876,0,8,Data/H3N2_EGG/H3N2_sheet1.csv,3854.0,0.184229155523849,Binder
5.0,2-6 SiaLac,150.0,60.0,0.4,0.94,56.39,101.24135485015073,0,8,Data/H3N2_EGG/H3N2_sheet1.csv,5709.0,0.2393252162703225,Binder
5.0,2-6 SiaLac,150.0,60.0,0.4,0.982,58.928,112.39139288623406,0,8,Data/H3N2_EGG/H3N2_sheet1.csv,6623.0,0.2656828768168219,Binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.115,86.99,30.198873433728018,0,9,Data/H3N2_EGG/H3N2_sheet1.csv,2627.0,0.07138734883926037,Binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.091,85.079,43.92388250919734,0,9,Data/H3N2_EGG/H3N2_sheet1.csv,3737.0,0.10383200320170585,Binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.149,89.623,52.10715999241266,0,9,Data/H3N2_EGG/H3N2_sheet1.csv,4670.0,0.12317651569237065,Binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.279,99.778,48.60790955922147,0,9,Data/H3N2_EGG/H3N2_sheet1.csv,4850.0,0.11490461071888386,Binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.236,96.432,37.94383607101377,0,9,Data/H3N2_EGG/H3N2_sheet1.csv,3659.0,0.08969572549934632,Binder
